QR ID,Use Case,Placement,Label / Intent,Permanent URL,Destination Type,Final Redirect,Notes
MOR-QR-011,"Spec Sheet, shared by Uplight + Downlight",Page 4 · Smart Features 04 · Scenes,Scene Creation Demo,https://dauermanufacturing.com/morpheus/demo/scenes,Feature demo video,,"Combine beam, level, and angle settings into named scenes; recall in one tap."
MOR-QR-012,"Spec Sheet, shared by Uplight + Downlight",Page 4 · Smart Features 05 · Groups,Fixture Grouping Demo,https://dauermanufacturing.com/morpheus/demo/groups,Feature demo video,,"Group fixtures by area, plant, or zone, even across multiple transformers."
MOR-QR-013,"Spec Sheet, shared by Uplight + Downlight",Page 4 · Smart Features 06 · Timers,Schedules & Astro Clock Demo,https://dauermanufacturing.com/morpheus/demo/schedules-astro,Feature demo video,,Sunrise/sunset triggers with offsets; per-day and weekly rules.
MOR-QR-014,"Spec Sheet, shared by Uplight + Downlight",Page 4 · Smart Features 07 · Kinetic,Kinetic Lighting Loop Demo,https://dauermanufacturing.com/morpheus/demo/kle-loop,Feature demo video,,Cycle saved scenes on a programmed loop for movement and ambience. Features 08-15 on that page carry no QR by design.
MOR-QR-015,User Manual,Page 2 · Contents / app download block,Download Dauer App,https://dauermanufacturing.com/morpheus/app,App download landing page,,One controllable link beats separate printed iOS/Android codes. Chapter 1 Fig 1.1 refers readers to this page-2 QR.
MOR-QR-016,User Manual,Page 5 · Chapter 1,Programming the Smart Fixture,https://dauermanufacturing.com/morpheus/help/programming,How-to video,,"Figs 1.1-1.16: app download, account setup, permissions, RF clicker pairing, 2.4 GHz Wi-Fi, opening the Control Panel."
MOR-QR-017,User Manual,Page 6 · Chapter 2,Add an Admin,https://dauermanufacturing.com/morpheus/help/add-admin,How-to video,,"Figs 2.1-2.9: Home Management, Add Member, role change to Administrator, invite link (expires in 3 days)."
MOR-QR-018,User Manual,Page 6 · Chapter 3,Share a Fixture or Group,https://dauermanufacturing.com/morpheus/help/share-fixture,How-to video,,"Figs 3.1-3.5: Share Device, Copy Sharing Link, use limits, Sharing Management."
MOR-QR-019,User Manual,Page 7 · Chapter 4,Astronomical Timer,https://dauermanufacturing.com/morpheus/help/astronomical-timer,How-to video,,"Figs 4.1-4.5: Morpheus Sunset/Sunrise tiles, per-fixture settings, frequency, schedule days, custom rules."
MOR-QR-020,User Manual,Page 7 · Chapter 5,Creating and Editing Groups,https://dauermanufacturing.com/morpheus/help/groups,How-to video,,"Figs 5.1-5.9: Create Group, naming, area/room assignment, Group Devices add/remove."
MOR-QR-021,User Manual,Page 8 · Chapter 6,Scheduling,https://dauermanufacturing.com/morpheus/help/scheduling,How-to video,,"Figs 6.1-6.4: Clock icon, Add Schedule, time, active days, ON/OFF, reviewing active schedules."
MOR-QR-022,User Manual,Page 8 · Chapter 7,Control Panel Overview,https://dauermanufacturing.com/morpheus/help/control-panel,How-to video,,"Figs 7.1-7.5: beam presets 16/25/35/45/70, KLE buttons, X/Y sliders, Vertical and Horizontal lock modes."
MOR-QR-023,User Manual,Page 8 · Chapter 8,Create a Scene Preset,https://dauermanufacturing.com/morpheus/help/scene-preset,How-to video,,"Figs 8.1-8.6: KLE Presets, Add (+), naming, beam/brightness sliders, Save Preset. Note: page-2 Contents still calls this ""Create a Static Preset"" - align the wording."
MOR-QR-024,User Manual,Page 9 · Chapter 9,Kinetic Lighting Effect Loops,https://dauermanufacturing.com/morpheus/help/kle-loops,How-to video,,"Figs 9.1-9.9: KLE Settings A/B, Loop Timer, Start/End Loop preview, saving and naming a loop, Apply from KLE Presets."
MOR-QR-025,User Manual,Page 10 · Chapter 10,Create Tap-and-Run Presets - Advanced,https://dauermanufacturing.com/morpheus/help/tap-and-run,How-to video,,"Figs 10.1-10.10: Scene tab, Create Scene, Tap-and-run, Select Multiple Devices, Set Power/Brightness, save and activate."
MOR-QR-029,User Manual,Page 11 · Topic 14,Download iOS or Android App,https://dauermanufacturing.com/morpheus/help/download-app,App download landing page,,Five install steps. Can redirect to the same destination as MOR-QR-015 if a single app link is preferred.
MOR-QR-031,User Manual,Page 1 · Cover,Watch Demo Video,https://dauermanufacturing.com/morpheus/demo,General product demo video,,"Cover carries a ""Scan for video / Demo"" QR. Can share the destination with MOR-QR-007 while keeping its own scan-tracking ID."
MOR-QR-033,"Spec Sheet, shared by Uplight + Downlight","Page 2 · Beam Angle table, 3000K rows",3000K IES Photometric Files,https://dauermanufacturing.com/morpheus/ies/3000k,IES file index or ZIP download,,"Table says ""Click rows to view IES."" A QR gives print readers the same access. 490400-3000K, 26 W, 32.28 VA."
MOR-QR-034,"Spec Sheet, shared by Uplight + Downlight","Page 2 · Beam Angle table, 2700K rows",2700K IES Photometric Files,https://dauermanufacturing.com/morpheus/ies/2700k,IES file index or ZIP download,,"Table says ""Click rows to view IES."" 490400-2700K, 26 W, 32.28 VA."
MOR-QR-036,"Spec Sheet, shared by Uplight + Downlight",Page 2 · Fixture Ordering Information,Mounting & Riser Accessory Guide,https://dauermanufacturing.com/morpheus/accessories,Accessory / ordering page,,"Uplight: MS, M3, PM, MR, MP, GM, RMP, REP plus R2-R24 risers. Downlight: TM, TH9-TH48, N, EM, MSM, RMP. Opt. 6in shroud 490410, flat cover 490411."
